name,link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,external_travel_time,lane_cap,link_type,link_type_name,service_type,VRP_load_id,VRP_group_id,VRP_load,VRP_time_window_begin,VRP_time_window_end,jam_density,wave_speed,demand_type_code,count_sensor_id,speed_sensor_id,geometry
,0,1,547,1,0.8633,1,518,1,1,3,Principal arterial,1,1,10,1,10,10,180,12,,,,"<LineString><coordinates>61.671000,71.431000,0.0 62.281000,72.041000,0.0</coordinates></LineString>"
,0,2,548,1,0.8633,1,518,1,1,3,Principal arterial,1,2,10,1,10,10,180,12,,,,"<LineString><coordinates>60.451000,70.882000,0.0 61.061000,71.492000,0.0</coordinates></LineString>"
,0,3,549,1,0.8633,1,518,1,1,3,Principal arterial,1,3,10,1,10,10,180,12,,,,"<LineString><coordinates>62.220000,69.113000,0.0 62.830000,69.723000,0.0</coordinates></LineString>"
,0,4,550,1,0.8633,1,518,1,1,3,Principal arterial,1,4,10,1,10,10,180,12,,,,"<LineString><coordinates>60.939000,68.198000,0.0 61.549000,68.808000,0.0</coordinates></LineString>"
,0,5,551,1,0.8633,1,518,1,1,3,Principal arterial,1,5,10,1,10,10,180,12,,,,"<LineString><coordinates>62.830000,66.063000,0.0 63.440000,66.673000,0.0</coordinates></LineString>"
,0,6,552,1,0.8633,1,518,1,1,3,Principal arterial,1,6,10,1,10,10,180,12,,,,"<LineString><coordinates>58.194000,69.967000,0.0 58.804000,70.577000,0.0</coordinates></LineString>"
,0,7,553,1,0.8633,1,518,1,1,3,Principal arterial,1,7,10,1,10,10,180,12,,,,"<LineString><coordinates>59.109000,67.954000,0.0 59.719000,68.564000,0.0</coordinates></LineString>"
,0,8,554,1,0.8633,1,518,1,1,3,Principal arterial,1,8,10,1,10,10,180,12,,,,"<LineString><coordinates>55.327000,69.784000,0.0 55.937000,70.394000,0.0</coordinates></LineString>"
,0,9,555,1,0.8633,1,518,1,1,3,Principal arterial,1,9,10,1,10,10,180,12,,,,"<LineString><coordinates>54.168000,67.161000,0.0 54.778000,67.771000,0.0</coordinates></LineString>"
,0,10,556,1,0.8633,1,518,1,1,3,Principal arterial,1,10,10,1,10,10,180,12,,,,"<LineString><coordinates>57.157000,66.490000,0.0 57.767000,67.100000,0.0</coordinates></LineString>"
,0,11,557,1,0.8633,1,518,1,1,3,Principal arterial,1,11,10,1,20,20,180,12,,,,"<LineString><coordinates>57.279000,63.623000,0.0 57.889000,64.233000,0.0</coordinates></LineString>"
,0,12,558,1,0.8633,1,518,1,1,3,Principal arterial,1,12,10,1,20,20,180,12,,,,"<LineString><coordinates>59.109000,63.989000,0.0 59.719000,64.599000,0.0</coordinates></LineString>"
,0,13,559,1,0.8633,1,518,1,1,3,Principal arterial,1,13,10,1,20,20,180,12,,,,"<LineString><coordinates>59.414000,61.976000,0.0 60.024000,62.586000,0.0</coordinates></LineString>"
,0,14,560,1,0.8633,1,518,1,1,3,Principal arterial,1,14,10,1,20,20,180,12,,,,"<LineString><coordinates>59.719000,65.880000,0.0 60.329000,66.490000,0.0</coordinates></LineString>"
